transaction_id,customer_id,timestamp,amount,currency,origin_country,destination_country,channel,device_type,is_anomaly
TXN00000000,CUST000140,2025-04-16 09:44:52.562049,2075.34,EUR,DE,US,app,pos,0
TXN00000001,CUST000167,2025-09-11 02:11:52.562049,52.61,EUR,US,GB,cajero,desktop,0
TXN00000002,CUST000102,2025-02-15 07:49:52.562049,104.66,USD,DE,FR,web,pos,0
TXN00000003,CUST000115,2025-01-01 03:36:52.562049,148.65,JPY,DE,ES,app,pos,0
TXN00000004,CUST000162,2024-12-29 15:48:52.562049,434.56,JPY,US,FR,web,pos,0
TXN00000005,CUST000109,2024-12-02 10:03:52.562049,58.8,JPY,FR,ES,sucursal,pos,0
TXN00000006,CUST000002,2025-02-16 16:45:52.562049,187.84,EUR,US,ES,app,pos,0
TXN00000007,CUST000022,2025-02-06 13:05:52.562049,172.34,CHF,US,DE,cajero,pos,0
TXN00000008,CUST000030,2025-02-22 10:44:52.562049,293.89,GBP,DE,FR,sucursal,desktop,0
TXN00000009,CUST000186,2024-12-09 02:51:52.562049,140.39,CHF,FR,ES,cajero,tablet,0
TXN00000010,CUST000148,2024-12-22 13:03:52.562049,858.75,EUR,GB,GB,sucursal,mobile,0
TXN00000011,CUST000069,2025-03-25 02:34:52.562049,235.35,CHF,DE,US,web,desktop,0
TXN00000012,CUST000112,2025-10-10 11:29:52.562049,44.71,USD,US,DE,cajero,pos,0
TXN00000013,CUST000042,2025-05-28 05:14:52.562049,458.63,CHF,US,US,sucursal,tablet,0
TXN00000014,CUST000055,2025-06-24 15:11:52.562049,212.86,GBP,FR,FR,cajero,desktop,0
TXN00000015,CUST000169,2025-08-18 13:40:52.562049,60.9,GBP,ES,GB,cajero,pos,0
TXN00000016,CUST000131,2025-03-16 09:11:52.562049,279.44,JPY,FR,ES,sucursal,mobile,0
TXN00000017,CUST000063,2025-01-12 00:30:52.632802,73.29,GBP,US,US,web,atm,1
TXN00000018,CUST000039,2024-11-18 02:53:52.562049,221.18,USD,DE,ES,cajero,desktop,0
TXN00000019,CUST000083,2025-02-28 17:14:52.562049,229.51,USD,ES,DE,app,desktop,0
TXN00000020,CUST000061,2025-07-08 01:00:52.632802,181690.28,JPY,DE,YE,cajero,atm,1
TXN00000021,CUST000041,2025-07-08 08:02:52.562049,373.03,JPY,DE,US,app,pos,0
TXN00000022,CUST000037,2025-10-20 09:24:52.562049,334.95,USD,GB,GB,app,atm,0
TXN00000023,CUST000039,2025-08-14 03:54:52.562049,541.97,CHF,DE,DE,app,pos,0
TXN00000024,CUST000149,2025-09-24 10:30:52.562049,39.07,EUR,US,DE,sucursal,pos,0
TXN00000025,CUST000028,2025-07-17 03:17:52.632802,53.01,GBP,DE,DE,cajero,atm,1
TXN00000026,CUST000171,2025-06-28 11:06:52.562049,282.93,GBP,FR,DE,cajero,tablet,0
TXN00000027,CUST000038,2025-01-04 07:18:52.562049,566.0,USD,GB,DE,app,tablet,0
TXN00000028,CUST000154,2025-08-17 15:56:52.562049,119.61,EUR,GB,DE,app,desktop,0
TXN00000029,CUST000080,2025-01-25 03:08:52.562049,167.58,JPY,US,DE,sucursal,mobile,0
TXN00000030,CUST000077,2024-11-08 12:48:52.562049,269.12,CHF,FR,DE,sucursal,tablet,0
TXN00000031,CUST000185,2025-02-24 00:40:52.562049,163.26,CHF,ES,DE,sucursal,pos,0
TXN00000032,CUST000126,2025-07-13 15:43:52.562049,524.01,GBP,DE,ES,sucursal,tablet,0
TXN00000033,CUST000072,2025-09-19 10:17:52.562049,229.18,CHF,ES,US,cajero,mobile,0
TXN00000034,CUST000022,2024-11-08 08:50:52.562049,157.04,EUR,FR,DE,app,desktop,0
TXN00000035,CUST000148,2025-10-06 16:37:52.562049,127.87,GBP,GB,FR,sucursal,mobile,0
TXN00000036,CUST000185,2024-11-07 12:23:52.562049,692.51,GBP,DE,ES,sucursal,pos,0
TXN00000037,CUST000117,2025-08-04 11:01:52.562049,371.62,GBP,DE,ES,sucursal,mobile,0
TXN00000038,CUST000149,2025-03-09 11:47:52.562049,161.85,GBP,DE,FR,web,mobile,0
TXN00000039,CUST000134,2025-05-13 11:59:52.562049,30.93,EUR,FR,DE,cajero,tablet,0
TXN00000040,CUST000166,2025-08-18 16:25:52.562049,237.22,USD,ES,GB,cajero,desktop,0
TXN00000041,CUST000168,2025-08-30 16:47:52.562049,43.78,GBP,GB,DE,app,tablet,0
TXN00000042,CUST000147,2024-12-09 10:11:52.562049,39.5,JPY,DE,US,sucursal,atm,0
TXN00000043,CUST000089,2025-09-26 07:49:52.562049,22.95,USD,GB,DE,cajero,atm,0
TXN00000044,CUST000132,2025-05-18 11:53:52.562049,54.75,CHF,FR,ES,sucursal,atm,0
TXN00000045,CUST000167,2025-08-02 01:09:52.562049,180.7,CHF,DE,US,app,tablet,0
TXN00000046,CUST000188,2025-10-09 00:46:52.562049,112.22,GBP,ES,US,app,pos,0
TXN00000047,CUST000139,2025-02-25 00:50:52.562049,38.99,GBP,FR,GB,sucursal,desktop,0
TXN00000048,CUST000185,2025-04-16 02:03:52.562049,765.07,USD,GB,DE,cajero,mobile,0
TXN00000049,CUST000042,2025-05-08 09:15:52.562049,1091.89,GBP,FR,GB,cajero,desktop,0
TXN00000050,CUST000042,2025-05-22 06:45:52.562049,24.87,CHF,DE,DE,web,mobile,0
TXN00000051,CUST000152,2024-12-07 17:18:52.562049,54.38,CHF,DE,DE,app,mobile,0
TXN00000052,CUST000120,2025-10-10 05:51:52.562049,261.59,GBP,DE,FR,web,mobile,0
TXN00000053,CUST000149,2024-12-10 00:50:52.562049,57.6,EUR,FR,GB,cajero,atm,0
TXN00000054,CUST000107,2025-05-31 00:35:52.562049,233.58,EUR,DE,US,cajero,pos,0
TXN00000055,CUST000093,2025-10-03 02:37:52.562049,662.13,CHF,US,DE,cajero,pos,0
TXN00000056,CUST000163,2025-08-26 12:54:52.562049,120.71,GBP,FR,ES,app,atm,0
TXN00000057,CUST000002,2025-10-29 03:08:52.632802,547.28,GBP,FR,US,sucursal,desktop,1
TXN00000058,CUST000180,2025-09-05 12:39:52.562049,228.83,GBP,ES,DE,sucursal,desktop,0
TXN00000059,CUST000019,2025-05-14 09:59:52.562049,142.19,USD,DE,ES,app,atm,0
TXN00000060,CUST000133,2025-03-02 10:07:52.562049,257.25,USD,DE,FR,cajero,desktop,0
TXN00000061,CUST000148,2025-06-14 04:07:52.562049,415.82,CHF,ES,FR,cajero,desktop,0
TXN00000062,CUST000169,2024-12-08 04:53:52.562049,60.62,USD,DE,DE,sucursal,tablet,0
TXN00000063,CUST000080,2025-03-14 10:34:52.562049,176.72,JPY,ES,US,sucursal,atm,0
TXN00000064,CUST000092,2025-02-19 12:33:52.562049,39.97,JPY,US,FR,web,atm,0
TXN00000065,CUST000080,2025-10-12 06:24:52.562049,279.28,GBP,GB,DE,cajero,mobile,0
TXN00000066,CUST000099,2025-03-10 01:30:52.562049,127.63,USD,ES,ES,cajero,mobile,0
TXN00000067,CUST000041,2025-04-19 03:33:52.632802,55446.11,EUR,ES,KP,web,tablet,1
TXN00000068,CUST000082,2025-02-10 10:57:52.562049,103.18,JPY,US,GB,sucursal,atm,0
TXN00000069,CUST000090,2024-11-10 10:33:52.562049,58.18,GBP,GB,GB,web,pos,0
TXN00000070,CUST000164,2024-12-25 07:48:52.562049,183.15,USD,FR,GB,web,desktop,0
TXN00000071,CUST000072,2025-02-20 13:43:52.562049,152.9,GBP,ES,FR,web,desktop,0
TXN00000072,CUST000073,2024-11-13 10:44:52.562049,110.22,JPY,GB,ES,sucursal,mobile,0
TXN00000073,CUST000019,2024-11-30 03:03:52.562049,246.72,EUR,GB,DE,app,pos,0
TXN00000074,CUST000055,2025-07-20 11:10:52.562049,183.96,CHF,US,FR,sucursal,mobile,0
TXN00000075,CUST000185,2025-08-21 11:39:52.562049,316.41,EUR,FR,GB,sucursal,mobile,0
TXN00000076,CUST000156,2025-09-13 04:19:52.562049,75.11,CHF,US,ES,web,mobile,0
TXN00000077,CUST000114,2025-09-27 11:28:52.562049,58.83,GBP,FR,ES,app,desktop,0
TXN00000078,CUST000151,2025-10-03 09:14:52.562049,222.7,CHF,ES,ES,app,desktop,0
TXN00000079,CUST000079,2025-06-08 03:09:52.562049,157.58,GBP,DE,US,app,desktop,0
TXN00000080,CUST000093,2025-06-04 06:59:52.562049,25.93,GBP,US,FR,web,mobile,0
TXN00000081,CUST000066,2025-10-15 03:54:52.562049,42.46,CHF,US,US,sucursal,desktop,0
TXN00000082,CUST000019,2025-07-03 08:32:52.562049,112.75,CHF,US,FR,sucursal,pos,0
TXN00000083,CUST000032,2025-01-22 14:47:52.562049,268.1,JPY,ES,DE,web,atm,0
TXN00000084,CUST000068,2025-03-21 10:27:52.562049,506.76,EUR,DE,FR,sucursal,desktop,0
TXN00000085,CUST000170,2024-12-23 13:03:52.562049,237.47,CHF,US,DE,web,mobile,0
TXN00000086,CUST000147,2025-04-01 12:20:52.562049,428.96,USD,US,DE,sucursal,mobile,0
