transaction_id,customer_id,timestamp,amount,currency,origin_country,destination_country,channel,device_type,is_anomaly,hour,day_of_week,day_of_month,month,customer_avg_amount,customer_std_amount,customer_min_amount,customer_max_amount,customer_transaction_count,customer_unique_countries,customer_unique_channels,amount_deviation,currency_encoded,origin_country_encoded,destination_country_encoded,channel_encoded,device_type_encoded,anomaly_score,predicted_anomaly
TXN00000000,CUST000161,2025-11-05 10:11:22.664021,424.25,EUR,ES,IT,web,atm,0,10,2,5,11,139.16267857142856,120.75959945266268,10.61,487.09,56,3,4,2.3607839075314314,1,2,8,3,0,0.5151700711620972,0
TXN00000001,CUST000089,2025-05-27 09:11:22.664021,133.93,EUR,ES,IT,app,pos,0,9,1,27,5,167.74181818181816,126.83528642226571,11.15,491.57,55,3,4,-0.26658053030029677,1,2,8,0,3,0.478642883380355,0
TXN00000002,CUST000164,2024-12-23 02:07:22.664021,6778.64,USD,US,FR,app,pos,0,2,0,23,12,5759.409827586207,3931.2540620704726,1054.44,14842.44,58,6,4,0.25926336890517127,3,6,5,0,3,0.5355313580250293,0
TXN00000003,CUST000154,2025-09-22 11:17:22.664021,1884.8,EUR,ES,IT,web,pos,0,11,0,22,9,5306.762553191489,3600.2821194151297,1232.6,14459.85,47,6,4,-0.9504706683366582,1,2,8,3,3,0.4375002061696015,0
TXN00000004,CUST000040,2024-12-05 13:33:22.664021,154.15,EUR,IT,ES,sucursal,mobile,0,13,3,5,12,3628.3949350649345,15519.208478751982,12.24,86491.01,77,6,4,-0.22386740532532995,1,5,4,2,2,0.47070921423427475,0
TXN00000005,CUST000177,2025-08-20 13:32:22.664021,352.34,EUR,FR,IT,app,desktop,0,13,2,20,8,882.1804000000001,714.9039851529658,108.09,2740.13,50,5,4,-0.741135047870095,1,3,8,0,1,0.4392952920287326,0
TXN00000006,CUST000104,2025-11-04 08:57:22.664021,196.1,EUR,ES,ES,app,mobile,0,8,1,4,11,878.7486666666667,742.4299771714012,115.19,2937.85,45,5,4,-0.9194788555656449,1,2,4,0,2,0.4505161543149811,0
TXN00000007,CUST000065,2025-07-04 10:11:22.664021,1373.19,EUR,DE,DE,app,tablet,0,10,4,4,7,923.64,646.6474119934588,157.06,2903.34,38,5,4,0.6952011110953714,1,1,3,0,4,0.49983687522573,0
TXN00000008,CUST000163,2025-07-30 09:11:22.664021,105.82,EUR,ES,ES,web,pos,0,9,2,30,7,168.95499999999998,140.93004795235706,16.1,480.82,42,3,4,-0.4479882074073746,1,2,4,3,3,0.4692219088531912,0
TXN00000009,CUST000061,2025-09-09 08:34:22.664021,2168.26,EUR,IT,IT,sucursal,mobile,0,8,1,9,9,4214.0417391304345,2941.5094806452344,1120.02,13214.78,46,6,4,-0.6954870456464397,1,5,8,2,2,0.42685378689642084,0
TXN00000010,CUST000017,2025-08-20 04:28:22.664021,4605.06,EUR,FR,IT,web,desktop,0,4,2,20,8,15628.335333333333,26043.435722206003,1012.73,99924.85,60,9,4,-0.42326501965756547,1,3,8,3,1,0.5035122441834727,0
TXN00000011,CUST000164,2025-07-14 16:07:22.664021,13806.07,EUR,US,DE,web,tablet,0,16,0,14,7,5759.409827586207,3931.2540620704726,1054.44,14842.44,58,6,4,2.0468430794139563,1,6,3,3,4,0.5525549515556503,0
TXN00000012,CUST000023,2025-02-10 04:32:22.664021,18950.18,EUR,FR,DE,app,atm,0,4,0,10,2,19429.679032258067,27485.165593373804,808.61,93511.09,62,11,4,-0.017445739252021104,1,3,3,0,0,0.5774129067704381,1
TXN00000013,CUST000176,2025-07-06 08:26:22.664021,797.33,EUR,ES,IT,web,mobile,0,8,6,6,7,999.8185454545454,731.9722641436783,123.88,2909.03,55,5,4,-0.2766341774094392,1,2,8,3,2,0.4363100459823749,0
TXN00000014,CUST000173,2025-10-12 09:14:22.664021,12837.99,EUR,DE,GB,cajero,desktop,0,9,6,12,10,5416.205952380952,3884.0417916518163,1118.22,14676.84,42,6,4,1.9108404192921544,1,1,6,1,1,0.4861847212156705,0
