transaction_id,customer_id,timestamp,amount,currency,origin_country,destination_country,channel,device_type,is_anomaly,tipo,hour,day_of_week,day_of_month,month,customer_avg_amount,customer_std_amount,customer_min_amount,customer_max_amount,customer_transaction_count,customer_unique_countries,customer_unique_channels,amount_deviation,currency_encoded,origin_country_encoded,destination_country_encoded,channel_encoded,device_type_encoded,anomaly_score,predicted_anomaly,pred_isolation_forest,score_isolation_forest,pred_lof,score_lof,pred_random_forest,score_random_forest,pred_logistic_regression,score_logistic_regression,pred_decision_tree,score_decision_tree
TXN00006047,CUST000083,2025-06-28 05:09:57.003505,92.61,EUR,ES,ES,web,mobile,0,Normal,5,5,28,6,158.37742857142857,131.01619648393864,23.45,495.8,70,3,4,-0.5019793722794545,1,2,4,3,2,0.0,0,0,0.4691779375985218,0,1.0551119713121457,0,0.0,0,0.0031899576287552456,0,0.0
TXN00004693,CUST000187,2025-10-30 22:56:57.003505,8879.02,EUR,GB,GB,cajero,pos,0,Normal,22,3,30,10,4876.589272727273,3027.9590817394396,1272.52,14739.26,55,6,4,1.321824574872283,1,4,6,1,3,0.0,0,0,0.4947043010391104,0,1.0272892156039577,0,0.0,0,0.02005602802436869,0,0.0
TXN00005510,CUST000157,2025-03-06 18:21:57.003505,2820.51,EUR,IT,DE,web,mobile,0,Normal,18,3,6,3,4468.6006,3061.342828385575,1001.7,14281.22,50,6,4,-0.538355451137362,1,5,3,3,2,0.0,0,0,0.44302829583223063,0,1.014942594798881,0,0.0,0,0.0072774560502575705,0,0.0
TXN00001344,CUST000010,2025-02-18 03:31:57.003505,719.35,EUR,FR,ES,sucursal,desktop,0,Normal,3,1,18,2,2649.5095,9608.349775436482,124.77,72985.19,60,8,4,-0.20088355908248923,1,3,4,2,1,0.0,0,0,0.4468624356593327,0,0.9950047944501236,0,0.0,0,0.22988330870308935,0,0.0
TXN00005373,CUST000186,2025-02-20 02:40:57.003505,3567.21,EUR,IT,US,sucursal,desktop,0,Normal,2,3,20,2,4858.559038461539,3428.725794161738,1031.11,14581.66,52,6,4,-0.37662651247403817,1,5,14,2,1,0.0,0,0,0.4748472347781901,0,0.9985303498363362,0,0.0,0,0.02777425604501934,0,0.0
TXN00005692,CUST000046,2025-06-03 18:34:57.003505,3766.9,EUR,GB,GB,app,tablet,0,Normal,18,1,3,6,14390.02703125,20397.40065692597,666.14,92261.44,64,10,4,-0.5208078818181224,1,4,6,0,4,0.0,0,0,0.5243975881513603,0,1.0103399128984512,0,0.005588235294117647,0,0.0720578707023318,0,0.0
TXN00006350,CUST000148,2025-10-16 20:59:57.003505,3500.55,EUR,ES,FR,sucursal,atm,0,Normal,20,3,16,10,4870.1898,2933.4540342801783,1010.54,12132.54,50,6,4,-0.4669034467653364,1,2,5,2,0,0.0,0,0,0.430035050096754,0,0.9926511923952812,0,0.0,0,0.008857874286427285,0,0.0
TXN00008179,CUST000030,2025-03-22 02:47:57.003505,567.41,EUR,GB,FR,web,tablet,0,Normal,2,5,22,3,5147.489833333334,15805.705911525396,117.06,96740.03,60,7,4,-0.28977382336993895,1,4,5,3,4,0.0,0,0,0.47082234136519524,0,1.0142033290140426,0,0.00987012987012987,0,0.2756296104504597,0,0.0
TXN00003169,CUST000101,2025-07-23 19:03:57.003505,73.79,EUR,FR,ES,web,atm,0,Normal,19,2,23,7,125.60097560975608,111.09659308018581,10.12,468.78,41,3,4,-0.46635971191304604,1,3,4,3,0,0.0,0,0,0.4605434883083155,0,1.0325100068553295,0,0.0,0,0.008320901754755586,0,0.0
TXN00008646,CUST000172,2025-07-12 21:58:57.003505,542.05,EUR,FR,FR,sucursal,pos,0,Normal,21,5,12,7,1225.615576923077,816.7534839489807,107.05,2891.9,52,5,4,-0.8369301013337906,1,3,5,2,3,0.0,0,0,0.43978042509629706,0,0.9750915284961325,0,0.0,0,0.018030637054616272,0,0.0
